sheet,pair,metric,cohens_d,mean_i,mean_j,n_i,n_j,p_raw,p_sidak
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p2_n2,0.9051689246360226,0.0544154184197131,0.0051603872399156635,26,19,0.04957168276403601,0.09668601379601383
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p2_n3,0.5394370597910954,-43.86461796312844,-53.75288332168365,26,19,0.17252478731779164,0.3152847723965341
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p2_n3,0.9017192506484201,0.040691074332952056,0.003808434392863789,26,19,0.044867560381733895,0.08772202278885921
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p2_n4,0.6427492809990326,-52.307167995093735,-64.62696927659078,26,19,0.12532386284094665,0.23494165508451692
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p2_n4,0.9005887566901255,0.03345530885080724,0.0030421188252165807,26,19,0.042969864573066396,0.08409331988470514
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p2_n5,0.7111953465914731,-59.973957241144824,-73.3708810200264,26,19,0.09629839586687161,0.18332341068721048
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p2_n5,0.8975047672469421,0.028889902245612477,0.002578396863686378,26,19,0.042217493458983846,0.08265267016400835
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p3_n1,0.4085441836454722,-22.406032061725703,-27.660246393580948,26,19,0.2983810237752009,0.5077308122012648
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p3_n1,0.9699443308340425,0.1503609358346836,0.016411323383232562,26,19,0.03792758679104946,0.07441667174230637
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p3_n2,0.49779873078351267,-32.894568241581474,-40.96030812257343,26,19,0.2017177559872626,0.36274545889398835
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p3_n2,0.9718982476311027,0.09922011282676083,0.010456894784974295,26,19,0.0315595111242617,0.06212301950612098
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p3_n3,0.5963131497119679,-42.57453188953332,-53.58191820424793,26,19,0.13334234262420275,0.2489045049118952
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p3_n3,0.9692335505031225,0.07447734054189599,0.007872230660220287,26,19,0.029642694614237852,0.05840669988448277
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p3_n4,0.6958464072903292,-51.01708192149863,-64.45600415915507,26,19,0.0988081911528973,0.18785332366688712
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p3_n4,0.9762017743376281,0.06117408379631084,0.0064070388789711245,26,19,0.0295139028158089,0.05815673517219677
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p3_n5,0.7634312219145348,-58.68387116754971,-73.19991590259069,26,19,0.07613840068002553,0.14647974530193897
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p3_n5,0.9811595656030422,0.052739113553013674,0.005485582695826439,26,19,0.030327010794506726,0.059734294005283295
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p4_n1,0.4893154725623626,-20.74242634659066,-27.259505373930885,26,19,0.21147305725675047,0.3782252605679841
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p4_n1,0.9360639701713211,0.24355215784404433,0.03585915225174529,26,19,0.029992272373017825,0.05908500834393837
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p4_n2,0.561014996920467,-31.23096252644643,-40.55956710292338,26,19,0.1501989673827835,0.2778382049627125
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p4_n2,0.9432391770951872,0.16048814550307072,0.023269844040474746,26,19,0.022413486359979973,0.044324608349150973
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p4_n3,0.6498508593968907,-40.91092617439828,-53.18117718459788,26,19,0.10262357380653953,0.1947155497122528
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p4_n3,0.9383556644974755,0.12028405502334599,0.01791187082673378,26,19,0.020831798223198472,0.04122963262918489
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p4_n4,0.7437063216130501,-49.35347620636357,-64.055263139505,26,19,0.07848209579414522,0.150804752228049
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p4_n4,0.9440742115190115,0.09846652110921011,0.014886207348248047,26,19,0.021485353236692983,0.04250908606968051
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p4_n5,0.8086919125023143,-57.020265452414655,-72.79917488294063,26,19,0.0612291877562936,0.11870936207929172
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p4_n5,0.9498038632590198,0.08456151487201899,0.012870364085976131,26,19,0.022965632143489678,0.0454038440272293
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p5_n1,0.5785434597102885,-18.52056218325523,-26.620900696187373,26,19,0.13973942296958142,0.25995173960729123
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p5_n1,0.9041786447009051,0.36905765689863024,0.06645293734253188,26,19,0.02739657510578375,0.054042577884040655
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p5_n2,0.6322969982318701,-29.009098363111004,-39.92096242517985,26,19,0.10698636489868385,0.20252664752313332
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p5_n2,0.9166587383077203,0.24270498729054754,0.043555894895601674,26,19,0.018176884178635166,0.03602336923882676
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p5_n3,0.7099765697911842,-38.689062011062845,-52.542572506854356,26,19,0.07688697688803947,0.14786234656109698
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p5_n3,0.9108326563747433,0.18159790320782065,0.03379808944305446,26,19,0.01628731959967078,0.032309362419599696
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p5_n4,0.7965005436055509,-47.131612043028134,-63.416658461761486,26,19,0.06131287315324341,0.11886647789218108
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p5_n4,0.9141252678738103,0.14836000048696216,0.02825253014924416,26,19,0.017111404849629475,0.03393000952333103
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p5_n5,0.964376788233091,-53.88953785005873,-73.53573454474463,34,29,0.003752772778915392,0.00749146225430064
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p5_n5,0.9500851711073177,0.1333492458069055,0.02259447865176519,34,29,0.001018840327846271,0.0020366426200788545
TRAK1 helix muts,T1 mDRH vs T1 mDRH / dSp,diff_p1_n1,0.005359033246457332,-27.9337448451701,-28.013489818526097,19,17,0.9877878337246222,0.9998508629948625
TRAK1 helix muts,T1 mDRH vs T1 mDRH / dSp,ratio_p1_n1,-0.6814707333846703,0.0034467255904274165,0.015601901676235874,19,17,0.5004815437729062,0.750481311888501
TRAK1 helix muts,T1 mDRH vs T1 mDRH / dSp,diff_p1_n2,-0.03453637252401324,-41.233806574162585,-40.62203143430425,19,17,0.9246356884212905,0.9943202205402671
TRAK1 helix muts,T1 mDRH vs T1 mDRH / dSp,ratio_p1_n2,-0.7140572786757784,0.002106986358602533,0.009476080700141136,19,17,0.5116085259025052,0.761473768028876
TRAK1 helix muts,T1 mDRH vs T1 mDRH / dSp,diff_p1_n3,-0.076994118084596,-53.85541665583709,-52.36633628664566,19,17,0.8391960818403992,0.9741420999045204
TRAK1 helix muts,T1 mDRH vs T1 mDRH / dSp,ratio_p1_n3,-0.7307083929840988,0.001522200185696876,0.006701973329747941,19,17,0.5231011994685075,0.7725675340516238
TRAK1 helix muts,T1 mDRH vs T1 mDRH / dSp,diff_p1_n4,-0.07723349780390329,-64.7295026107442,-63.199297061490434,19,17,0.8472981260039061,0.9766821376780811
TRAK1 helix muts,T1 mDRH vs T1 mDRH / dSp,ratio_p1_n4,-0.7495466421819559,0.0011875605534521938,0.005211365498905028,19,17,0.5405289992569993,0.7888863994762254
TRAK1 helix muts,T1 mDRH vs T1 mDRH / dSp,diff_p1_n5,-0.060086737515670646,-73.47341435417984,-72.3344552865245,19,17,0.8836535282995832,0.9864634985228641
TRAK1 helix muts,T1 mDRH vs T1 mDRH / dSp,ratio_p1_n5,-0.7619949665801575,0.0009889483666115203,0.004308476532803906,19,17,0.5551407446210632,0.8021002429036979
TRAK1 helix muts,T1 mDRH vs T1 mDRH / dSp,diff_p2_n1,-0.00616347126469465,-27.83121151101666,-27.73900904176432,19,17,0.986121574236225,0.9998073892983194
TRAK1 helix muts,T1 mDRH vs T1 mDRH / dSp,ratio_p2_n1,-0.6819150130674032,0.008245470967045577,0.03131504402568745,19,17,0.541121261068935,0.7894303029570355
TRAK1 helix muts,T1 mDRH vs T1 mDRH / dSp,diff_p2_n2,-0.04402391790217838,-41.13127324000915,-40.34755065754248,19,17,0.9043705475314822,0.9908550078205715
